iter	Passed	Remaining
0	55	54988
1	56	27950
2	56	18874
3	57	14348
4	58	11628
5	59	9809
6	60	8512
7	60	7546
8	61	6784
9	62	6181
10	63	5678
11	64	5269
12	64	4918
13	65	4610
14	66	4345
15	66	4109
16	67	3904
17	68	3718
18	68	3554
19	69	3406
20	70	3277
21	71	3182
22	72	3075
23	73	2972
24	73	2880
25	74	2796
26	75	2721
27	76	2654
28	77	2588
29	78	2522
30	78	2460
31	79	2400
32	80	2345
33	80	2292
34	81	2242
35	82	2198
36	83	2162
37	83	2125
38	84	2088
39	85	2053
40	86	2018
41	87	1985
42	87	1954
43	88	1925
44	89	1897
45	90	1870
46	90	1842
47	91	1815
48	92	1790
49	92	1766
50	93	1743
51	94	1722
52	95	1701
53	95	1681
54	96	1661
55	97	1643
56	98	1624
57	99	1609
58	99	1592
59	100	1575
60	101	1559
61	101	1542
62	102	1530
63	103	1515
64	104	1502
65	105	1489
66	105	1475
67	106	1462
68	107	1448
69	108	1436
70	108	1424
71	109	1412
72	110	1400
73	111	1389
74	111	1378
75	112	1368
76	113	1357
77	113	1347
78	114	1336
79	115	1326
80	116	1317
81	116	1307
82	117	1294
83	117	1285
84	118	1276
85	119	1268
86	120	1260
87	120	1253
88	121	1245
89	122	1239
90	123	1231
91	124	1226
92	124	1218
93	125	1212
94	126	1205
95	127	1199
96	128	1194
97	129	1189
98	130	1183
99	130	1177
100	131	1173
101	132	1168
102	133	1164
103	134	1159
104	135	1153
105	135	1146
106	136	1140
107	137	1134
108	138	1128
109	138	1122
110	139	1116
111	140	1110
112	140	1105
113	141	1100
114	142	1095
115	143	1089
116	143	1083
117	144	1078
118	145	1073
119	145	1068
120	146	1064
121	147	1058
122	147	1053
123	148	1048
124	149	1043
125	149	1038
126	150	1032
127	150	1028
128	151	1023
129	152	1019
130	152	1014
131	153	1010
132	154	1005
133	154	1001
134	155	997
135	156	992
136	156	988
137	157	984
138	158	980
139	158	976
140	159	972
141	160	966
142	160	964
143	161	961
144	163	961
145	163	958
146	164	954
147	165	951
148	166	948
149	166	945
150	167	942
151	168	938
152	169	935
153	169	932
154	170	929
155	171	927
156	172	925
157	173	923
158	174	920
159	174	917
160	175	912
161	175	910
162	176	908
163	177	906
164	178	902
165	179	899
166	179	896
167	180	892
168	181	890
169	181	887
170	182	884
171	183	881
172	183	879
173	184	876
174	185	873
175	186	871
176	186	868
177	187	866
178	188	864
179	189	861
180	189	859
181	190	857
182	191	855
183	192	853
184	193	850
185	193	847
186	194	845
187	195	843
188	196	842
189	197	840
190	197	837
191	198	835
192	199	832
193	199	830
194	200	828
195	201	826
196	202	824
197	203	822
198	203	820
199	204	818
200	205	815
201	205	813
202	206	811
203	207	809
204	208	806
205	208	804
206	209	802
207	210	800
208	210	798
209	211	795
210	212	794
211	212	791
212	213	789
213	214	787
214	215	785
215	215	783
216	216	780
217	217	778
218	217	776
219	218	774
220	219	771
221	219	770
222	220	768
223	221	767
224	222	765
225	222	763
226	223	761
227	224	759
228	224	757
229	225	755
230	226	753
231	226	751
232	227	749
233	228	747
234	229	745
235	229	743
236	230	742
237	231	740
238	231	738
239	232	736
240	233	734
241	233	732
242	234	730
243	235	728
244	236	727
245	236	725
246	237	723
247	238	721
248	238	719
249	239	718
250	240	716
251	240	714
252	241	712
253	242	711
254	242	709
255	243	708
256	244	706
257	245	705
258	245	703
259	246	701
260	247	700
261	248	698
262	248	697
263	249	695
264	250	693
265	250	692
266	251	690
267	252	688
268	252	687
269	253	685
270	254	684
271	255	682
272	255	681
273	256	679
274	257	677
275	257	676
276	258	674
277	259	672
278	259	671
279	260	669
280	261	668
281	261	666
282	262	665
283	263	663
284	263	661
285	264	660
286	265	658
287	265	657
288	266	655
289	267	654
290	267	652
291	268	651
292	269	649
293	270	648
294	270	646
295	271	645
296	272	643
297	272	642
298	273	640
299	274	639
300	274	637
301	275	636
302	276	634
303	277	634
304	277	633
305	278	631
306	279	630
307	279	629
308	280	627
309	281	626
310	281	624
311	282	623
312	283	621
313	283	620
314	284	619
315	285	617
316	286	616
317	287	615
318	287	614
319	288	613
320	289	612
321	290	611
322	290	609
323	291	608
324	292	607
325	293	605
326	293	604
327	294	603
328	295	601
329	295	600
330	296	599
331	297	597
332	297	596
333	298	595
334	299	593
335	299	592
336	300	591
337	301	589
338	301	588
339	302	587
340	303	585
341	303	584
342	304	583
343	305	582
344	306	581
345	307	580
346	307	579
347	308	577
348	309	576
349	309	575
350	310	574
351	311	572
352	311	571
353	312	570
354	313	568
355	313	567
356	314	566
357	315	565
358	315	563
359	316	562
360	317	561
361	317	559
362	318	558
363	319	557
364	319	556
365	320	554
366	321	553
367	321	552
368	322	551
369	323	550
370	323	548
371	324	547
372	325	546
373	325	545
374	326	544
375	327	542
376	327	541
377	328	540
378	329	539
379	329	538
380	330	536
381	331	535
382	331	534
383	332	533
384	333	532
385	334	531
386	334	530
387	336	530
388	336	529
389	337	527
390	338	526
391	338	525
392	339	524
393	340	523
394	340	522
395	341	520
396	342	519
397	342	518
398	343	517
399	344	516
400	344	515
401	345	514
402	346	512
403	346	511
404	347	510
405	348	509
406	348	508
407	349	507
408	350	506
409	350	504
410	351	503
411	352	502
412	352	501
413	353	500
414	354	499
415	354	498
416	355	497
417	356	496
418	356	494
419	357	493
420	358	492
421	358	491
422	359	490
423	360	489
424	361	488
425	361	487
426	362	486
427	363	485
428	364	485
429	365	484
430	366	483
431	366	482
432	367	481
433	368	480
434	368	479
435	369	478
436	370	477
437	371	476
438	371	475
439	372	474
440	373	472
441	373	471
442	374	470
443	375	469
444	376	468
445	376	467
446	377	466
447	378	466
448	379	465
449	379	464
450	380	462
451	380	461
452	381	460
453	382	459
454	382	458
455	383	457
456	384	456
457	385	455
458	385	454
459	386	453
460	387	452
461	387	451
462	388	450
463	389	449
464	389	448
465	390	447
466	391	446
467	392	445
468	392	444
469	393	443
470	394	442
471	395	441
472	395	440
473	396	439
474	397	438
475	397	437
476	398	437
477	399	435
478	399	435
479	400	433
480	401	432
481	402	432
482	402	431
483	403	430
484	404	429
485	404	428
486	405	427
487	406	426
488	406	425
489	407	424
490	408	423
491	409	422
492	409	421
493	410	420
494	411	419
495	411	418
496	412	417
497	412	416
498	413	415
499	414	414
500	414	413
501	415	412
502	416	411
503	417	410
504	417	409
505	418	408
506	419	407
507	419	406
508	420	405
509	421	404
510	422	403
511	422	403
